DEL komplett	DEL Schnittmenge	id0	url0	label0	label@fr0
Absolutisme éclairé		Q219934	https://www.wikidata.org/wiki/Q219934	enlightened absolutism	despotisme éclairé
Abus de mots		Q26553	https://www.wikidata.org/wiki/Q26553	child sexual abuse	abus sexuel sur mineur	Q43414	https://www.wikidata.org/wiki/Q43414	sexual abuse	abus sexuel	Q12136	https://www.wikidata.org/wiki/Q12136	disease	maladie	Q1339137	https://www.wikidata.org/wiki/Q1339137	psychological abuse	violence psychologique	Q15767316	https://www.wikidata.org/wiki/Q15767316	Council of Europe Convention on the Protection of Children against Sexual Exploitation and Sexual Abuse	Convention du Conseil de l'Europe pour la protection des enfants contre l'exploitation et les abus sexuels
Académie française		Q161806	https://www.wikidata.org/wiki/Q161806	Académie Française	Académie française	P5645	https://www.wikidata.org/wiki/P5645	Académie française award winner ID	identifiant Académie française d'un lauréat	P4717	https://www.wikidata.org/wiki/P4717	Académie française member ID	identifiant Académie française d'un membre	Q6822675	https://www.wikidata.org/wiki/Q6822675	Category:Members of the Académie Française	Catégorie:Membre de l'Académie française	Q2428961	https://www.wikidata.org/wiki/Q2428961	Dictionnaire de l'Académie française	Dictionnaire de l'Académie française
Académie royale des sciences de Paris		Q103083341	https://www.wikidata.org/wiki/Q103083341	Markus Johannes Thill		Q188771	https://www.wikidata.org/wiki/Q188771	French Academy of Sciences	Académie des sciences	Q51488252	https://www.wikidata.org/wiki/Q51488252	Histoire de l'Académie royale des sciences	Histoire de l'Académie royale des sciences	Q5898790	https://www.wikidata.org/wiki/Q5898790	Histoire de l'académie royale des sciences. Avec les mémoires de mathématique & de physique	Histoire de l'Académie royale des sciences, avec les mémoires de mathématique et de physique.	Q51503291	https://www.wikidata.org/wiki/Q51503291	Mémoires de l'Académie royale des sciences	Mémoires de l'Académie royale des sciences (Paris)
Académies de peinture		Q337579	https://www.wikidata.org/wiki/Q337579	Académie royale de peinture et de sculpture	Académie royale de peinture et de sculpture	Q189458	https://www.wikidata.org/wiki/Q189458	academic art	art académique	Q26836557	https://www.wikidata.org/wiki/Q26836557	Academy of Painting and Sculpture of Marseille	Académie de peinture et de sculpture de Marseille	Q337480	https://www.wikidata.org/wiki/Q337480	Académie Julian	Académie Julian	Q22942768	https://www.wikidata.org/wiki/Q22942768	Koninklijke Academie voor Kunst en Vormgeving	Académie royale d'art et de design de Bois-le-Duc
Académies en Europe		Q35675707	https://www.wikidata.org/wiki/Q35675707	Radiology and primary care in Europe.		Q28728268	https://www.wikidata.org/wiki/Q28728268	The earliest modern human colonization of Europe		Q85454938	https://www.wikidata.org/wiki/Q85454938	Improving immunisation uptake across Europe		Q46405139	https://www.wikidata.org/wiki/Q46405139	Paediatric primary care in Europe: variation between countries.		Q36291030	https://www.wikidata.org/wiki/Q36291030	Is Europe ready to embrace a policy of universal varicella vaccination?	
Académies provinciales		Q47456615	https://www.wikidata.org/wiki/Q47456615	Heilongjiang Academy of Sciences		Q11412029	https://www.wikidata.org/wiki/Q11412029	Taiwan Police College		Q12398699	https://www.wikidata.org/wiki/Q12398699	Royal Galician Academy of Fine Arts		Q52857185	https://www.wikidata.org/wiki/Q52857185	Gansu Provincial Academy of Membrane Science and Technology		Q55453845	https://www.wikidata.org/wiki/Q55453845	Hunan Research Academy of Environmental Sciences	
Accouchement		Q58713575	https://www.wikidata.org/wiki/Q58713575	Accouchement after Extirpation of the Sacrum		Q59569677	https://www.wikidata.org/wiki/Q59569677	Accouchement à domicile	Accouchement à domicile	Q68933557	https://www.wikidata.org/wiki/Q68933557	A history of accouchement forcé: 1550-1985		Q95289591	https://www.wikidata.org/wiki/Q95289591	COVID-19, grossesse et accouchement		Q52733228	https://www.wikidata.org/wiki/Q52733228	Accouchement forcé.	
Acoustique		Q18589974	https://www.wikidata.org/wiki/Q18589974	Acoustique	Acoustique	Q3504098	https://www.wikidata.org/wiki/Q3504098	Super Acoustique	Super Acoustique	Q55966687	https://www.wikidata.org/wiki/Q55966687	Le traumatisme acoustique		Q323808	https://www.wikidata.org/wiki/Q323808	hearing aid	audioprothèse	Q31561	https://www.wikidata.org/wiki/Q31561	acoustic guitar	guitare acoustique
Acteurs et comédiens		Q33999	https://www.wikidata.org/wiki/Q33999	actor	acteur	Q101114496	https://www.wikidata.org/wiki/Q101114496	et un autre comédien	et un autre comédien	Q367073	https://www.wikidata.org/wiki/Q367073	Donald Crisp	Donald Crisp	Q513293	https://www.wikidata.org/wiki/Q513293	Léonce Perret	Léonce Perret	Q483907	https://www.wikidata.org/wiki/Q483907	Jack Black	Jack Black
Administration	administration	Q3754526	https://www.wikidata.org/wiki/Q3754526	administration	administration	Q204711	https://www.wikidata.org/wiki/Q204711	Food and Drug Administration	Food and Drug Administration	Q191701	https://www.wikidata.org/wiki/Q191701	Master of Business Administration	maîtrise en administration des affaires	Q23548	https://www.wikidata.org/wiki/Q23548	NASA	National Aeronautics and Space Administration	Q31728	https://www.wikidata.org/wiki/Q31728	public administration	administration publique
Affinité		Q58292559	https://www.wikidata.org/wiki/Q58292559	Étude Biologique Dans Le Domaine Otologique D'un Chélateur À Affinité Calcique		Q99859947	https://www.wikidata.org/wiki/Q99859947	Affinité Des Myxomycètes Et Des Chytridinées	Affinité Des Myxomycètes Et Des Chytridinées	Q64307760	https://www.wikidata.org/wiki/Q64307760	Explication méchanique des Propriétés de la Matière, Cohésion, Affinité, Gravitation, &c		Q382783	https://www.wikidata.org/wiki/Q382783	chemical affinity	affinité chimique	Q99524106	https://www.wikidata.org/wiki/Q99524106	Un Clitocybe bisporique : Omphalia lutea (Fr.) sensu Métrod, description, caryologie culture,affinité avec Cl. osmophora Gilbert.	Un Clitocybe bisporique : Omphalia lutea (Fr.) sensu Métrod, description, caryologie culture,affinité avec Cl. osmophora Gilbert.
Afrique		Q2826196	https://www.wikidata.org/wiki/Q2826196	Afrique	Afrique	Q4690138	https://www.wikidata.org/wiki/Q4690138	Afrique	Afrique	Q210682	https://www.wikidata.org/wiki/Q210682	French West Africa	Afrique-Occidentale française	Q271894	https://www.wikidata.org/wiki/Q271894	French Equatorial Africa	Afrique-Équatoriale française	Q1252739	https://www.wikidata.org/wiki/Q1252739	Jeune Afrique	Jeune Afrique
Agricultures	agriculture	Q2933091	https://www.wikidata.org/wiki/Q2933091	Cahiers Agricultures	Cahiers Agricultures	Q131512	https://www.wikidata.org/wiki/Q131512	farmer	agriculteur	Q188869	https://www.wikidata.org/wiki/Q188869	field	champ	Q59500639	https://www.wikidata.org/wiki/Q59500639	Dynamiques des agricultures biologiques		Q501542	https://www.wikidata.org/wiki/Q501542	United States Department of Agriculture	département de l'Agriculture des États-Unis
Agronomie et agriculture		Q173113	https://www.wikidata.org/wiki/Q173113	agronomy	agronomie	Q10549418	https://www.wikidata.org/wiki/Q10549418	WikiProject Agriculture	Projet:Agriculture et agronomie	Q2827193	https://www.wikidata.org/wiki/Q2827193		Agriculture et agronomie de la commune d'Olne	Q8210598	https://www.wikidata.org/wiki/Q8210598	Portal:Agriculture and agronomy	Portail:Agriculture et agronomie	Q7364706	https://www.wikidata.org/wiki/Q7364706	Category:WikiProject Agriculture	Catégorie:Projet:Agriculture et agronomie
Alchimie		Q29948263	https://www.wikidata.org/wiki/Q29948263	Alchimie	Alchimie	Q59569649	https://www.wikidata.org/wiki/Q59569649	Alchimie	Alchimie	Q4713050	https://www.wikidata.org/wiki/Q4713050	Alchimie Forever	Alchimie Forever	Q55969725	https://www.wikidata.org/wiki/Q55969725	Alchimie, franc-maçonnerie et homéopathie		Q59566960	https://www.wikidata.org/wiki/Q59566960	Alchimie du temps	Alchimie du temps
Algèbre		Q56288820	https://www.wikidata.org/wiki/Q56288820	Algèbre		Q56288821	https://www.wikidata.org/wiki/Q56288821	Algèbre commutative		Q3968	https://www.wikidata.org/wiki/Q3968	algebra	algèbre	Q56813989	https://www.wikidata.org/wiki/Q56813989	Book Review: Algèbre et analyse linéaires		Q56144342	https://www.wikidata.org/wiki/Q56144342	Book Review: Éléments de mathématique. Algèbre commutative	
Alimentation	alimentation	Q2836942	https://www.wikidata.org/wiki/Q2836942	Alimentation	Alimentation	Q2836957	https://www.wikidata.org/wiki/Q2836957	Alimentation Couche-Tard	Alimentation Couche-Tard	Q93030334	https://www.wikidata.org/wiki/Q93030334	Sommeil et alimentation,alimentation et sommeil		Q72342109	https://www.wikidata.org/wiki/Q72342109	[Alimentation today]		Q67072035	https://www.wikidata.org/wiki/Q67072035	[Biological alimentation]	
Allégorie		Q64960493	https://www.wikidata.org/wiki/Q64960493	Allégorie		Q72874826	https://www.wikidata.org/wiki/Q72874826	Allégorie		Q18535	https://www.wikidata.org/wiki/Q18535	allegory	allégorie	Q76822547	https://www.wikidata.org/wiki/Q76822547	Allégorie du Temps	Allégorie du Temps	Q2839016	https://www.wikidata.org/wiki/Q2839016	allegory	allégorie
Allemagne	allemagne	Q2837854	https://www.wikidata.org/wiki/Q2837854	Allemagne	Allemagne	Q2837849	https://www.wikidata.org/wiki/Q2837849	Allemagne	Allemagne	Q473295	https://www.wikidata.org/wiki/Q473295	Allemagne-en-Provence	Allemagne-en-Provence	Q15750033	https://www.wikidata.org/wiki/Q15750033	Allemagne d'aujourd'hui	Allemagne d'aujourd'hui	Q3177977	https://www.wikidata.org/wiki/Q3177977	Jeune Allemagne	Jeune Allemagne
Allemagnes et Saint-Empire		Q150611	https://www.wikidata.org/wiki/Q150611	Ferdinand I, Holy Roman Emperor	Ferdinand Ier du Saint-Empire	Q7883514	https://www.wikidata.org/wiki/Q7883514	list of German monarchs	liste des souverains de Germanie
