DEL komplett	DEL Schnittmenge	Anzahl der Ergebnisse	Ergebnisse durch Suche nach	Ergebnisse (IDs)	Ergebnisse (URLs)
Absolutisme éclairé		0	NONE	[]	[]
Abus de mots		0	NONE	[]	[]
Académie française		1	LABELFRENCH	[Q161806]	[http://www.wikidata.org/entity/Q161806]
Académie royale des sciences de Paris		0	NONE	[]	[]
Académies de peinture		0	NONE	[]	[]
Académies en Europe		0	NONE	[]	[]
Académies provinciales		0	NONE	[]	[]
Accouchement		1	LABELFRENCH	[Q34581]	[http://www.wikidata.org/entity/Q34581]
Acoustique		2	LABELFRENCH	[Q18589974, Q82811]	[http://www.wikidata.org/entity/Q18589974, http://www.wikidata.org/entity/Q82811]
Acteurs et comédiens		0	NONE	[]	[]
Administration	administration	3	LABELFRENCH	[Q304157, Q3754526, Q50412353]	[http://www.wikidata.org/entity/Q304157, http://www.wikidata.org/entity/Q3754526, http://www.wikidata.org/entity/Q50412353]
Affinité		3	LABELFRENCH	[Q3233502, Q4704789, Q37789282]	[http://www.wikidata.org/entity/Q3233502, http://www.wikidata.org/entity/Q4704789, http://www.wikidata.org/entity/Q37789282]
Afrique		6	LABELFRENCH	[Q56317928, Q181238, Q23639892, Q4690138, Q15, Q2826196]	[http://www.wikidata.org/entity/Q56317928, http://www.wikidata.org/entity/Q181238, http://www.wikidata.org/entity/Q23639892, http://www.wikidata.org/entity/Q4690138, http://www.wikidata.org/entity/Q15, http://www.wikidata.org/entity/Q2826196]
Agricultures	agriculture	1	ALIASFRENCH	[Q2933091]	[http://www.wikidata.org/entity/Q2933091]
Agronomie et agriculture		0	NONE	[]	[]
Alchimie		5	LABELFRENCH	[Q39689, Q59569649, Q29948263, Q1048076, Q29366022]	[http://www.wikidata.org/entity/Q39689, http://www.wikidata.org/entity/Q59569649, http://www.wikidata.org/entity/Q29948263, http://www.wikidata.org/entity/Q1048076, http://www.wikidata.org/entity/Q29366022]
Algèbre		3	LABELFRENCH	[Q3968, Q232448, Q62109072]	[http://www.wikidata.org/entity/Q3968, http://www.wikidata.org/entity/Q232448, http://www.wikidata.org/entity/Q62109072]
Alimentation	alimentation	2	LABELFRENCH	[Q2836942, Q213449]	[http://www.wikidata.org/entity/Q2836942, http://www.wikidata.org/entity/Q213449]
Allégorie		17	LABELFRENCH	[Q2406685, Q19912710, Q28798187, Q29209102, Q56036949, Q19131695, Q29842426, Q45367848, Q19131690, Q29221446, Q19543797, Q45370176, Q20408602, Q2839016, Q18535, Q29210180, Q48180798]	[http://www.wikidata.org/entity/Q2406685, http://www.wikidata.org/entity/Q19912710, http://www.wikidata.org/entity/Q28798187, http://www.wikidata.org/entity/Q29209102, http://www.wikidata.org/entity/Q56036949, http://www.wikidata.org/entity/Q19131695, http://www.wikidata.org/entity/Q29842426, http://www.wikidata.org/entity/Q45367848, http://www.wikidata.org/entity/Q19131690, http://www.wikidata.org/entity/Q29221446, http://www.wikidata.org/entity/Q19543797, http://www.wikidata.org/entity/Q45370176, http://www.wikidata.org/entity/Q20408602, http://www.wikidata.org/entity/Q2839016, http://www.wikidata.org/entity/Q18535, http://www.wikidata.org/entity/Q29210180, http://www.wikidata.org/entity/Q48180798]
Allemagne	allemagne	6	LABELFRENCH	[Q1350565, Q2129498, Q2837854, Q183, Q2837849, Q47497669]	[http://www.wikidata.org/entity/Q1350565, http://www.wikidata.org/entity/Q2129498, http://www.wikidata.org/entity/Q2837854, http://www.wikidata.org/entity/Q183, http://www.wikidata.org/entity/Q2837849, http://www.wikidata.org/entity/Q47497669]
Allemagnes et Saint-Empire		0	NONE	[]	[]
Amérique du Nord		3	LABELFRENCH	[Q49, Q23639893, Q19464773]	[http://www.wikidata.org/entity/Q49, http://www.wikidata.org/entity/Q23639893, http://www.wikidata.org/entity/Q19464773]
Amérique latine		1	LABELFRENCH	[Q12585]	[http://www.wikidata.org/entity/Q12585]
Amour	amour	28	LABELFRENCH	[Q29366611, Q19131977, Q16166640, Q19131972, Q637820, Q29234498, Q79032649, Q909375, Q59537510, Q3246554, Q16020992, Q48173828, Q316, Q17352350, Q20685873, Q30125012, Q20785844, Q474367, Q19131988, Q19131982, Q19132037, Q4747995, Q56036956, Q56126959, Q6862, Q87453567, Q18573755, Q29334666]	[http://www.wikidata.org/entity/Q29366611, http://www.wikidata.org/entity/Q19131977, http://www.wikidata.org/entity/Q16166640, http://www.wikidata.org/entity/Q19131972, http://www.wikidata.org/entity/Q637820, http://www.wikidata.org/entity/Q29234498, http://www.wikidata.org/entity/Q79032649, http://www.wikidata.org/entity/Q909375, http://www.wikidata.org/entity/Q59537510, http://www.wikidata.org/entity/Q3246554, http://www.wikidata.org/entity/Q16020992, http://www.wikidata.org/entity/Q48173828, http://www.wikidata.org/entity/Q316, http://www.wikidata.org/entity/Q17352350, http://www.wikidata.org/entity/Q20685873, http://www.wikidata.org/entity/Q30125012, http://www.wikidata.org/entity/Q20785844, http://www.wikidata.org/entity/Q474367, http://www.wikidata.org/entity/Q19131988, http://www.wikidata.org/entity/Q19131982, http://www.wikidata.org/entity/Q19132037, http://www.wikidata.org/entity/Q4747995, http://www.wikidata.org/entity/Q56036956, http://www.wikidata.org/entity/Q56126959, http://www.wikidata.org/entity/Q6862, http://www.wikidata.org/entity/Q87453567, http://www.wikidata.org/entity/Q18573755, http://www.wikidata.org/entity/Q29334666]
Anarchie		5	LABELFRENCH	[Q28205140, Q28376180, Q47498013, Q31895, Q2371005]	[http://www.wikidata.org/entity/Q28205140, http://www.wikidata.org/entity/Q28376180, http://www.wikidata.org/entity/Q47498013, http://www.wikidata.org/entity/Q31895, http://www.wikidata.org/entity/Q2371005]
Anatomie		4	LABELFRENCH	[Q488316, Q234286, Q514, Q19143514]	[http://www.wikidata.org/entity/Q488316, http://www.wikidata.org/entity/Q234286, http://www.wikidata.org/entity/Q514, http://www.wikidata.org/entity/Q19143514]
Anciens et Modernes		0	NONE	[]	[]
Angleterre	angleterre	1	LABELFRENCH	[Q21]	[http://www.wikidata.org/entity/Q21]
Anti-Lumières		1	LABELFRENCH	[Q457998]	[http://www.wikidata.org/entity/Q457998]
Antique		11	LABELFRENCH	[Q2073977, Q29010769, Q582882, Q415426, Q54727537, Q10413655, Q58481468, Q5697384, Q13727, Q5697387, Q4775158]	[http://www.wikidata.org/entity/Q2073977, http://www.wikidata.org/entity/Q29010769, http://www.wikidata.org/entity/Q582882, http://www.wikidata.org/entity/Q415426, http://www.wikidata.org/entity/Q54727537, http://www.wikidata.org/entity/Q10413655, http://www.wikidata.org/entity/Q58481468, http://www.wikidata.org/entity/Q5697384, http://www.wikidata.org/entity/Q13727, http://www.wikidata.org/entity/Q5697387, http://www.wikidata.org/entity/Q4775158]
Apologétique		2	LABELFRENCH	[Q191776, Q4780426]	[http://www.wikidata.org/entity/Q191776, http://www.wikidata.org/entity/Q4780426]
Archéologie	archéologie	3	LABELFRENCH	[Q23498, Q105105719, Q30024668]	[http://www.wikidata.org/entity/Q23498, http://www.wikidata.org/entity/Q105105719, http://www.wikidata.org/entity/Q30024668]
Architecture		5	LABELFRENCH	[Q296766, Q96147344, Q12271, Q46999985, Q97174015]	[http://www.wikidata.org/entity/Q296766, http://www.wikidata.org/entity/Q96147344, http://www.wikidata.org/entity/Q12271, http://www.wikidata.org/entity/Q46999985, http://www.wikidata.org/entity/Q97174015]
Armée		5	LABELFRENCH	[Q37319639, Q8473, Q28864102, Q51977, P241]	[http://www.wikidata.org/entity/Q37319639, http://www.wikidata.org/entity/Q8473, http://www.wikidata.org/entity/Q28864102, http://www.wikidata.org/entity/Q51977, http://www.wikidata.org/entity/P241]
Artiste	artiste	4	LABELFRENCH	[Q50273697, Q483501, Q3379530, Q1286544]	[http://www.wikidata.org/entity/Q50273697, http://www.wikidata.org/entity/Q483501, http://www.wikidata.org/entity/Q3379530, http://www.wikidata.org/entity/Q1286544]
Astronomie		7	LABELFRENCH	[Q23855425, Q333, Q88644591, Q18889376, Q88644823, Q18889378, Q12012641]	[http://www.wikidata.org/entity/Q23855425, http://www.wikidata.org/entity/Q333, http://www.wikidata.org/entity/Q88644591, http://www.wikidata.org/entity/Q18889376, http://www.wikidata.org/entity/Q88644823, http://www.wikidata.org/entity/Q18889378, http://www.wikidata.org/entity/Q12012641]
