DEL komplett	DEL Schnittmenge	id0	url0	label0	label@fr0	label@de0	id1	url1	label1	label@fr1	label@de1	id2	url2	label2	label@fr2	label@de2	id3	url3	label3	label@fr3	label@de3	id4	url4	label4	label@fr4	label@de4
Absolutisme éclairé		Q219934	https://www.wikidata.org/wiki/Q219934	enlightened absolutism	despotisme éclairé	aufgeklärter Absolutismus
Abus de mots		Q26553	https://www.wikidata.org/wiki/Q26553	child sexual abuse	abus sexuel sur mineur	sexueller Missbrauch von Kindern	Q43414	https://www.wikidata.org/wiki/Q43414	sexual abuse	abus sexuel	sexueller Missbrauch	Q12136	https://www.wikidata.org/wiki/Q12136	disease	maladie	Krankheit	Q1339137	https://www.wikidata.org/wiki/Q1339137	psychological abuse	violence psychologique	emotionaler Missbrauch	Q15767316	https://www.wikidata.org/wiki/Q15767316	Council of Europe Convention on the Protection of Children against Sexual Exploitation and Sexual Abuse	Convention du Conseil de l'Europe pour la protection des enfants contre l'exploitation et les abus sexuels	Übereinkommen des Europarats zum Schutz von Kindern vor sexueller Ausbeutung und sexuellem Missbrauch
Académie française		Q161806	https://www.wikidata.org/wiki/Q161806	Académie Française	Académie française	Académie française	P5645	https://www.wikidata.org/wiki/P5645	Académie française award winner ID	identifiant Académie française d'un lauréat		P4717	https://www.wikidata.org/wiki/P4717	Académie française member ID	identifiant Académie française d'un membre		Q6822675	https://www.wikidata.org/wiki/Q6822675	Category:Members of the Académie Française	Catégorie:Membre de l'Académie française	Kategorie:Mitglied der Académie française	Q2428961	https://www.wikidata.org/wiki/Q2428961	Dictionnaire de l'Académie française	Dictionnaire de l'Académie française	Dictionnaire de l’Académie française
Académie royale des sciences de Paris		Q103083341	https://www.wikidata.org/wiki/Q103083341	Markus Johannes Thill			Q188771	https://www.wikidata.org/wiki/Q188771	French Academy of Sciences	Académie des sciences	Académie des sciences	Q51488252	https://www.wikidata.org/wiki/Q51488252	Histoire de l'Académie royale des sciences	Histoire de l'Académie royale des sciences		Q5898790	https://www.wikidata.org/wiki/Q5898790	Histoire de l'académie royale des sciences. Avec les mémoires de mathématique & de physique	Histoire de l'Académie royale des sciences, avec les mémoires de mathématique et de physique.	Histoire de l'académie royale des sciences. Avec les mémoires de mathématique & de physique	Q51503291	https://www.wikidata.org/wiki/Q51503291	Mémoires de l'Académie royale des sciences	Mémoires de l'Académie royale des sciences (Paris)	
Académies de peinture		Q337579	https://www.wikidata.org/wiki/Q337579	Académie royale de peinture et de sculpture	Académie royale de peinture et de sculpture	Académie royale de peinture et de sculpture	Q189458	https://www.wikidata.org/wiki/Q189458	academic art	art académique	Akademische Kunst	Q26836557	https://www.wikidata.org/wiki/Q26836557	Academy of Painting and Sculpture of Marseille	Académie de peinture et de sculpture de Marseille		Q337480	https://www.wikidata.org/wiki/Q337480	Académie Julian	Académie Julian	Académie Julian	Q22942768	https://www.wikidata.org/wiki/Q22942768	Koninklijke Academie voor Kunst en Vormgeving	Académie royale d'art et de design de Bois-le-Duc	Koninklijke Academie voor Kunst en Vormgeving
Académies en Europe		Q28728268	https://www.wikidata.org/wiki/Q28728268	The earliest modern human colonization of Europe			Q35675707	https://www.wikidata.org/wiki/Q35675707	Radiology and primary care in Europe.			Q85454938	https://www.wikidata.org/wiki/Q85454938	Improving immunisation uptake across Europe			Q46405139	https://www.wikidata.org/wiki/Q46405139	Paediatric primary care in Europe: variation between countries.			Q1760178	https://www.wikidata.org/wiki/Q1760178	Accademia delle Arti del Disegno	Académie du dessin de Florence	Accademia delle Arti del Disegno
Académies provinciales		Q47456615	https://www.wikidata.org/wiki/Q47456615	Heilongjiang Academy of Sciences			Q11412029	https://www.wikidata.org/wiki/Q11412029	Taiwan Police College			Q105169392	https://www.wikidata.org/wiki/Q105169392	Guangdong Provincial Academy of Chinese Medical Sciences			Q12398699	https://www.wikidata.org/wiki/Q12398699	Royal Galician Academy of Fine Arts			Q52857185	https://www.wikidata.org/wiki/Q52857185	Gansu Provincial Academy of Membrane Science and Technology		
Accouchement		Q58713575	https://www.wikidata.org/wiki/Q58713575	Accouchement after Extirpation of the Sacrum			Q95289591	https://www.wikidata.org/wiki/Q95289591	COVID-19, grossesse et accouchement			Q59569677	https://www.wikidata.org/wiki/Q59569677	Accouchement à domicile	Accouchement à domicile		Q60946566	https://www.wikidata.org/wiki/Q60946566	Vaginose bactérienne et accouchement prématuré			Q68933557	https://www.wikidata.org/wiki/Q68933557	A history of accouchement forcé: 1550-1985		
Acoustique		Q18589974	https://www.wikidata.org/wiki/Q18589974	Acoustique	Acoustique		Q3504098	https://www.wikidata.org/wiki/Q3504098	Super Acoustique	Super Acoustique	Super Acoustique	Q55966687	https://www.wikidata.org/wiki/Q55966687	Le traumatisme acoustique			Q323808	https://www.wikidata.org/wiki/Q323808	hearing aid	audioprothèse	Hörgerät	Q286080	https://www.wikidata.org/wiki/Q286080	acoustic music	musique acoustique	Akustikversion
Acteurs et comédiens		Q33999	https://www.wikidata.org/wiki/Q33999	actor	acteur	Schauspieler	Q101114496	https://www.wikidata.org/wiki/Q101114496	et un autre comédien	et un autre comédien		Q367073	https://www.wikidata.org/wiki/Q367073	Donald Crisp	Donald Crisp	Donald Crisp	Q513293	https://www.wikidata.org/wiki/Q513293	Léonce Perret	Léonce Perret	Léonce Perret	Q618352	https://www.wikidata.org/wiki/Q618352	Kevin Hart	Kevin Hart	Kevin Hart
